feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
ZZFeatureMap,RealAmplitudes,1,3,0.01,absolute_error,0.5925925925925926,0.4918092464506734,0.4747474747474747,0.4274698795180723,49.7644202709198
ZZFeatureMap,RealAmplitudes,1,2,0.001,squared_error,0.5925925925925926,0.4918092464506734,0.4747474747474747,0.4274698795180723,31.145344495773315
PauliFeatureMap,EfficientSU2,2,2,0.001,cross_entropy,0.5925925925925926,0.47491638795986624,0.42424242424242425,0.41071428571428575,110.33091354370117
PauliFeatureMap,EfficientSU2,2,2,0.001,absolute_error,0.5925925925925926,0.47491638795986624,0.42424242424242425,0.41071428571428575,109.97091555595398
PauliFeatureMap,RealAmplitudes,2,3,0.001,absolute_error,0.5925925925925926,0.47491638795986624,0.42424242424242425,0.41071428571428575,60.648263454437256
PauliFeatureMap,EfficientSU2,1,2,0.001,weightedcross_entropy,0.5925925925925926,0.4571754853444995,0.3737373737373737,0.39232736572890026,92.02552318572998
ZFeatureMap,RealAmplitudes,2,3,0.001,absolute_error,0.5925925925925926,0.4571754853444995,0.3737373737373737,0.39232736572890026,47.631649017333984
ZFeatureMap,RealAmplitudes,1,3,0.01,absolute_error,0.5833333333333334,0.5679945054945055,0.7222222222222222,0.48598625066102596,42.31819725036621
ZFeatureMap,RealAmplitudes,1,2,0.001,squared_error,0.5833333333333334,0.5679945054945055,0.7222222222222222,0.48598625066102596,25.88240957260132
PauliFeatureMap,EfficientSU2,1,2,0.01,cross_entropy,0.5833333333333334,0.5527586206896552,0.6717171717171717,0.47533196588578214,91.76480555534363
ZZFeatureMap,RealAmplitudes,1,2,0.01,squared_error,0.5833333333333334,0.5063920454545454,0.5202020202020201,0.43743488829725663,31.28613591194153
ZZFeatureMap,RealAmplitudes,1,3,0.001,weightedcross_entropy,0.5833333333333334,0.4735294117647059,0.41919191919191917,0.40608578760845654,49.68114733695984
ZZFeatureMap,EfficientSU2,2,3,0.01,absolute_error,0.5833333333333334,0.4735294117647059,0.41919191919191917,0.40608578760845654,182.3433554172516
ZFeatureMap,RealAmplitudes,1,2,0.001,absolute_error,0.5740740740740741,0.5663807890222985,0.7171717171717171,0.4796816087138668,26.12100124359131
PauliFeatureMap,EfficientSU2,2,3,0.001,squared_error,0.5740740740740741,0.5358007609823591,0.6161616161616161,0.4578786556089044,182.39660596847534
ZZFeatureMap,EfficientSU2,1,3,0.001,weightedcross_entropy,0.5740740740740741,0.5204046041158005,0.5656565656565657,0.4455357142857143,155.73491835594177
ZZFeatureMap,RealAmplitudes,1,3,0.001,absolute_error,0.5740740740740741,0.4721514379322898,0.41414141414141414,0.4014457831325301,49.563844203948975
ZFeatureMap,EfficientSU2,2,3,0.001,weightedcross_entropy,0.5740740740740741,0.4548494983277592,0.36363636363636365,0.3839285714285714,152.1232671737671
PauliFeatureMap,EfficientSU2,1,3,0.001,squared_error,0.5648148148148148,0.5803571428571429,0.7626262626262627,0.48283239938869077,153.89838457107544
PauliFeatureMap,EfficientSU2,1,3,0.01,weightedcross_entropy,0.5648148148148148,0.5494505494505495,0.6616161616161615,0.4631411951348493,157.04184794425964
ZZFeatureMap,RealAmplitudes,1,2,0.001,cross_entropy,0.5648148148148148,0.5494505494505495,0.6616161616161615,0.4631411951348493,31.213035821914673
PauliFeatureMap,RealAmplitudes,1,2,0.001,cross_entropy,0.5648148148148148,0.5494505494505495,0.6616161616161615,0.4631411951348493,31.394169569015503
ZZFeatureMap,EfficientSU2,1,2,0.01,cross_entropy,0.5648148148148148,0.5341379310344827,0.6111111111111112,0.4520133865918169,91.6291618347168
ZZFeatureMap,RealAmplitudes,1,2,0.01,absolute_error,0.5648148148148148,0.5341379310344827,0.6111111111111112,0.4520133865918169,31.069905996322632
ZZFeatureMap,EfficientSU2,2,3,0.001,absolute_error,0.5648148148148148,0.51875,0.5606060606060606,0.4399205561072492,182.32555413246155
ZZFeatureMap,RealAmplitudes,1,3,0.01,cross_entropy,0.5648148148148148,0.48721590909090906,0.45959595959595956,0.41243199444380135,49.52466082572937
ZZFeatureMap,EfficientSU2,1,3,0.001,squared_error,0.5648148148148148,0.47077922077922074,0.40909090909090906,0.39679144385026743,154.4355809688568
ZFeatureMap,EfficientSU2,2,2,0.01,absolute_error,0.5648148148148148,0.4536764705882353,0.35858585858585856,0.37968960039105465,89.15729475021362
PauliFeatureMap,RealAmplitudes,1,2,0.001,absolute_error,0.5555555555555556,0.5632933104631218,0.7070707070707071,0.46710526315789475,31.50049138069153
